Date,Open,High,Low,Close,Adj Close,Volume
"Dec 30, 2025",461.09,463.12,453.83,454.43,454.43,"58,902,200"
"Dec 29, 2025",469.00,469.40,459.00,459.64,459.64,"66,263,000"
"Dec 26, 2025",485.23,489.09,473.82,475.19,475.19,"58,780,700"
"Dec 24, 2025",488.48,490.90,476.80,485.40,485.40,"41,285,400"
"Dec 23, 2025",489.40,491.97,482.84,485.56,485.56,"58,223,600"
"Dec 22, 2025",489.88,498.83,485.33,488.73,488.73,"86,916,100"
"Dec 19, 2025",488.12,490.49,474.72,481.20,481.20,"103,305,400"
"Dec 18, 2025",478.16,490.86,473.12,483.37,483.37,"95,168,400"
"Dec 17, 2025",488.22,495.28,466.20,467.26,467.26,"106,490,400"
"Dec 16, 2025",472.21,491.50,465.83,489.88,489.88,"107,608,100"
"Dec 15, 2025",469.44,481.77,467.66,475.31,475.31,"114,542,200"
"Dec 12, 2025",448.09,463.01,441.67,458.96,458.96,"95,656,700"
"Dec 11, 2025",448.95,449.27,440.33,446.89,446.89,"55,979,500"
"Dec 10, 2025",446.07,456.88,443.61,451.45,451.45,"63,257,500"
"Dec 9, 2025",437.54,452.39,435.70,445.17,445.17,"62,367,400"
"Dec 8, 2025",447.45,449.75,435.25,439.58,439.58,"69,165,800"
"Dec 5, 2025",453.03,458.87,451.66,455.00,455.00,"56,427,500"
"Dec 4, 2025",449.94,454.63,445.39,454.53,454.53,"71,906,500"
"Dec 3, 2025",432.10,447.92,431.11,446.74,446.74,"87,483,000"
"Dec 2, 2025",430.81,436.80,422.12,429.24,429.24,"69,336,600"
"Dec 1, 2025",425.32,433.66,425.29,430.14,430.14,"57,463,600"
"Nov 28, 2025",426.59,432.93,426.20,430.17,430.17,"36,252,900"
"Nov 26, 2025",423.95,426.94,416.89,426.58,426.58,"63,463,000"
"Nov 25, 2025",414.42,420.48,405.95,419.40,419.40,"71,915,600"
"Nov 24, 2025",402.17,421.72,401.09,417.78,417.78,"96,806,400"
"Nov 21, 2025",402.32,402.80,383.76,391.09,391.09,"100,460,600"
"Nov 20, 2025",414.63,428.94,394.74,395.23,395.23,"113,548,800"
"Nov 19, 2025",406.18,411.78,398.50,403.99,403.99,"72,047,700"
"Nov 18, 2025",405.38,408.90,393.71,401.25,401.25,"80,688,600"
"Nov 17, 2025",398.74,423.96,398.74,408.92,408.92,"102,214,300"
"Nov 14, 2025",386.30,412.19,382.78,404.35,404.35,"105,506,700"
"Nov 13, 2025",423.13,424.50,396.34,401.99,401.99,"118,948,000"
"Nov 12, 2025",442.15,442.33,426.56,430.60,430.60,"58,513,500"
"Nov 11, 2025",439.40,442.49,432.36,439.62,439.62,"60,533,200"
"Nov 10, 2025",439.60,449.67,433.36,445.23,445.23,"76,515,900"
"Nov 7, 2025",437.92,439.36,421.88,429.52,429.52,"103,471,500"
"Nov 6, 2025",461.96,467.45,435.09,445.91,445.91,"109,622,900"
"Nov 5, 2025",452.05,466.33,440.71,462.07,462.07,"85,573,000"
"Nov 4, 2025",454.46,460.22,443.60,444.26,444.26,"87,756,600"
"Nov 3, 2025",455.99,474.07,453.80,468.37,468.37,"84,595,200"
"Oct 31, 2025",446.75,458.00,443.69,456.56,456.56,"83,135,800"
"Oct 30, 2025",451.05,455.06,439.61,440.10,440.10,"72,447,900"
